The Ironed Pants,"Brady, Tom QB NE "
The Ironed Pants,"Jones-Drew, Maurice RB JAC "
The Ironed Pants,"Portis, Clinton RB WAS "
The Ironed Pants,"Burress, Plaxico WR NYG "
The Ironed Pants,"Chambers, Chris WR SD"
The Ironed Pants,"Welker, Wes WR NE "
The Ironed Pants,"Gonzalez, Tony TE KC"
The Ironed Pants,"Folk, Nick K DAL"
The Ironed Pants,Titans DST
The Ironed Pants,"Campbell, Jason QB WAS "
The Ironed Pants,"Garcia, Jeff QB TB "
The Ironed Pants,"Benson, Cedric RB CHI"
The Ironed Pants,"Jones, Julius RB SEA "
The Ironed Pants,"Jurevicius, Joe WR CLE "
The Ironed Pants,"Moss, Santana WR WAS"
The Ironed Pants,Bears DST
bakenhaze,"Brees, Drew QB NO "
bakenhaze,"Lynch, Marshawn RB BUF"
bakenhaze,"McGahee, Willis RB BAL "
bakenhaze,"Evans, Lee WR BUF "
bakenhaze,"Williams, Reggie WR JAC "
bakenhaze,"Henry, Chris WR CIN "
bakenhaze,"Clark, Dallas TE IND"
bakenhaze,"Dawson, Phil K CLE"
bakenhaze,Colts DST 
bakenhaze,"Brown, Chris RB HOU "
bakenhaze,"Evans, Heath RB NE"
bakenhaze,"Watson, Kenny RB CIN"
bakenhaze,"Boldin, Anquan WR ARI "
bakenhaze,"Ginn Jr., Ted WR MIA "
bakenhaze,"Washington, Nate WR PIT"
bakenhaze,"Heap, Todd TE BAL"
Beantown Bandits,"Favre, Brett QB NYJ "
Beantown Bandits,"Lewis, Jamal RB CLE "
Beantown Bandits,"White, LenDale RB TEN "
Beantown Bandits,"Edwards, Braylon WR CLE "
Beantown Bandits,"Wayne, Reggie WR IND"
Beantown Bandits,"Smith, Steve WR CAR "
Beantown Bandits,"Lee, Donald TE GB"
Beantown Bandits,"Wilkins, Jeff K STL"
Beantown Bandits,Chargers DST
Beantown Bandits,"Cutler, Jay QB DEN "
Beantown Bandits,"Henry, Travis RB DEN"
Beantown Bandits,"Taylor, Chester RB MIN"
